icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,squawk,spi,position_source,extra_col_0
ade18c,AAL750  ,United States,1733690085.0,1733690085,-77.7332,28.4545,8839.2,False,216.89,344.88,0.0,,9258.3,,False,0
abd9d9,SWA4926 ,United States,1733690102.0,1733690102,-89.8915,36.4622,10363.2,False,181.03,277.35,0.0,,10622.28,1647,False,0
7c6b41,JST456  ,Australia,1733690101.0,1733690101,151.1909,-33.969,,True,10.8,168.75,,,,1460,False,0
7c6b40,        ,Australia,1733690094.0,1733690094,144.8484,-37.6761,,True,0.51,351.56,,,,4351,False,0
880459,AIQ585  ,Thailand,1733690102.0,1733690102,100.7075,14.1589,1165.86,False,140.06,187.39,-10.73,,1226.82,,False,0
a6b5a1,N531RF  ,United States,1733690102.0,1733690102,-77.7654,37.5158,1821.18,False,41.54,277.83,0.0,,1798.32,,False,0
a3b87f,DAL1250 ,United States,1733690102.0,1733690102,-97.681,30.2752,541.02,False,71.52,179.18,-3.58,,518.16,2722,False,0
a6aeab,N53GA   ,United States,1733690101.0,1733690101,-81.9394,30.1969,6400.8,False,130.4,345.14,0.0,,6690.36,3136,False,0
801643,AXB1382 ,India,1733690074.0,1733690096,88.4449,22.6631,15.24,True,7.72,185.62,,,,2717,False,0
a22e99,N24KT   ,United States,1733689913.0,1733689914,-107.9297,37.9582,2773.68,False,86.1,104.53,-8.13,,2811.78,,False,0
880457,AIQ141  ,Thailand,1733690102.0,1733690102,100.235,14.2438,2362.2,False,146.25,97.28,-2.93,,2491.74,,False,0
abc6a3,N858SC  ,United States,1733690097.0,1733690098,-117.1321,32.8132,121.92,False,27.63,294.18,-1.63,,106.68,1200,False,0
acf9bd,N935RK  ,United States,1733690102.0,1733690102,-80.5941,43.1418,13106.4,False,190.65,266.75,0.33,,13045.44,2667,False,0
aa56d8,UAL1883 ,United States,1733690102.0,1733690102,-93.039,41.483,11277.6,False,243.97,84.43,0.0,,11391.9,2775,False,0
a34230,EJA309  ,United States,1733690102.0,1733690102,-77.9614,34.4333,12496.8,False,190.43,1.7,0.0,,12740.64,2103,False,0
4b1803,SWR1ST  ,Switzerland,1733690102.0,1733690102,0.7242,50.0117,9761.22,False,223.37,140.7,2.28,,9616.44,2027,False,0
a7b090,N595G   ,United States,1733690102.0,1733690102,-98.6838,40.7834,12504.42,False,237.41,72.86,-0.98,,12603.48,3372,False,0
4b1804,SWR93Q  ,Switzerland,1733690102.0,1733690102,-1.0362,42.6691,10972.8,False,245.58,78.03,0.0,,10881.36,2202,False,0
4b1805,SWR105W ,Switzerland,1733690102.0,1733690102,8.5785,48.2555,6583.68,False,152.71,187.94,-4.23,,6522.72,1125,False,0
a34e6a,ENY3444 ,United States,1733690102.0,1733690102,-81.185,28.9398,7620.0,False,195.28,340.13,0.0,,7993.38,3662,False,0
4b1806,SWR44X  ,Switzerland,1733690102.0,1733690102,9.1717,47.6079,6301.74,False,186.74,9.51,8.45,,6217.92,3031,False,0
a90ea8,DAL1500 ,United States,1733690101.0,1733690101,-83.409,32.7984,5966.46,False,198.62,318.47,-5.85,,6179.82,1324,False,0
a1c5ef,N213PC  ,United States,1733690102.0,1733690102,-81.4143,29.0832,12496.8,False,196.03,359.1,-0.33,,13007.34,1121,False,0
a0e279,N156WM  ,United States,1733690102.0,1733690102,-80.7426,26.0049,510.54,False,58.21,93.04,-3.58,,556.26,1200,False,0
7c6b1c,JST810  ,Australia,1733689871.0,1733689923,153.1209,-27.3981,15.24,False,72.94,27.29,-2.6,,22.86,1326,False,0
4b1800,SWR5119 ,Switzerland,1733690102.0,1733690102,8.5653,47.4422,,True,0.0,146.25,,,,2000,False,0
7c6b1b,JST760  ,Australia,1733690102.0,1733690102,149.6258,-33.7687,9044.94,False,190.78,264.27,2.93,,9494.52,4046,False,0
4b1802,SWR1AX  ,Switzerland,1733690095.0,1733690100,8.5557,47.4544,457.2,True,0.0,185.62,,,,2000,False,0
acdfa6,AAL1112 ,United States,1733690101.0,1733690102,-95.023,35.4219,10668.0,False,287.3,35.08,0.0,,10850.88,7454,False,0
7c6b31,JST7991 ,Australia,1733690102.0,1733690102,170.2587,-44.3866,10027.92,False,193.44,232.67,-14.31,,10043.16,,False,0
a4b213,N401TT  ,United States,1733690101.0,1733690101,-89.718,38.7877,3055.62,False,62.66,237.75,0.0,,3055.62,1453,False,0
a3b88e,AAL1161 ,United States,1733690101.0,1733690101,-95.3677,38.8426,3604.26,False,189.36,47.64,-3.9,,3573.78,0526,False,0
aaef60,AAL327  ,United States,1733690102.0,1733690102,-77.2302,38.8119,10363.2,False,225.17,225.09,0.0,,10507.98,3010,False,0
aa9f3f,SWA1809 ,United States,1733690101.0,1733690101,-112.1097,35.6565,10972.8,False,220.83,354.12,-0.33,,11262.36,4141,False,0
a1c5fb,N213PQ  ,United States,1733690094.0,1733690095,-100.5093,37.8107,11277.6,False,250.1,157.76,0.33,,11437.62,3547,False,0
4952cb,TAP783  ,Portugal,1733690102.0,1733690102,-3.1499,45.4408,11887.2,False,244.04,222.09,0.0,,11818.62,0730,False,0
4952cc,TAP58Y  ,Portugal,1733690102.0,1733690102,-2.9565,46.933,11582.4,False,214.2,16.61,0.0,,11498.58,5215,False,0
a9039c,N680EA  ,United States,1733690098.0,1733690102,-96.4374,32.529,2049.78,False,141.89,320.89,-4.88,,2034.54,1177,False,0
7c6b38,JST483  ,Australia,1733690101.0,1733690101,152.2841,-29.5134,9738.36,False,219.34,201.75,0.0,,10363.2,4730,False,0
4952cd,TAP828  ,Portugal,1733690102.0,1733690102,-8.1305,39.2156,8724.9,False,208.67,63.81,8.45,,8976.36,1140,False,0
4952ce,TAP574  ,Portugal,1733690101.0,1733690101,1.2649,48.2026,11574.78,False,216.7,47.79,-0.33,,11430.0,1000,False,0
7c6b35,JST401  ,Australia,1733690102.0,1733690102,152.1397,-29.8298,10180.32,False,215.42,201.73,10.4,,10782.3,1122,False,0
a532ac,N434HC  ,United States,1733690081.0,1733690086,-80.4873,35.6687,426.72,False,38.34,310.1,-1.95,,472.44,1200,False,0
a3a575,JBU1410 ,United States,1733690101.0,1733690101,-70.9272,41.9396,3718.56,False,168.97,59.84,-4.23,,3589.02,2253,False,0
80160b,IGO1423 ,India,1733690101.0,1733690101,55.4473,25.4565,944.88,False,112.02,302.81,-3.25,,1005.84,,False,0
a3a578,VJA334  ,United States,1733690101.0,1733690101,-83.6246,32.9985,4541.52,False,179.84,319.29,-8.78,,4693.92,1470,False,0
7c6b19,JST295  ,Australia,1733689974.0,1733689974,169.8365,-44.6131,5966.46,False,166.96,221.25,-11.05,,5897.88,,False,0
ad19f2,SKW5360 ,United States,1733690101.0,1733690102,-85.1801,43.3325,3901.44,False,190.65,75.63,-5.53,,3832.86,5061,True,0
ac8ff4,N9085J  ,United States,1733690102.0,1733690102,-117.3965,33.2208,281.94,False,47.55,5.59,0.98,,266.7,1200,False,0
aa9300,UAL78   ,United States,1733690102.0,1733690102,-74.3009,41.2145,1973.58,False,137.18,155.16,-4.55,,1882.14,7227,False,0
aaa6e4,AVA046  ,United States,1733690101.0,1733690101,-7.423,39.737,12184.38,False,268.51,85.05,-0.33,,12374.88,3353,False,0
7c6b0b,JST193  ,Australia,1733690102.0,1733690102,154.5022,-29.2527,7437.12,False,232.04,148.6,4.55,,7871.46,,False,0
0d0c18,GMT734  ,Mexico,1733690102.0,1733690102,-98.1791,18.5686,8587.74,False,223.36,315.37,-6.18,,9090.66,,False,0
abacb6,SCX1813 ,United States,1733690101.0,1733690102,-92.7453,44.0012,7513.32,False,240.42,153.71,9.43,,7528.56,3651,False,0
a9b3fb,N724SC  ,United States,1733690101.0,1733690101,-118.5289,34.1835,708.66,False,43.22,278.9,2.6,,701.04,,False,0
ad562a,AVA258  ,United States,1733690101.0,1733690101,-66.3082,18.3231,1691.64,False,108.11,42.88,-7.48,,1783.08,3661,False,0
ab0f88,N81104  ,United States,1733690085.0,1733690086,-83.7222,42.9698,327.66,False,34.47,269.14,-1.95,,266.7,,False,0
a1abce,N2068S  ,United States,1733690102.0,1733690102,-117.1802,33.2062,670.56,False,51.12,159.38,-0.65,,670.56,1200,False,0
a7e8bf,ASA350  ,United States,1733689905.0,1733689926,-108.8802,42.0662,11582.4,False,185.98,287.38,-0.33,,11582.4,0653,False,0
7c6b28,JST811  ,Australia,1733690102.0,1733690102,153.4074,-27.344,3619.5,False,147.39,176.6,15.93,,3810.0,1141,False,0
aaf656,VXP323  ,United States,1733690092.0,1733690092,-78.4059,31.6121,11582.4,False,231.76,200.12,0.0,,11955.78,1630,False,0
aa8c10,SKW5956 ,United States,1733690102.0,1733690102,-97.6842,41.9804,11285.22,False,259.73,80.54,-0.33,,11391.9,3742,False,0
0d0c0e,XAVHP   ,Mexico,1733690101.0,1733690101,-100.9598,26.1847,13716.0,False,224.6,297.86,0.33,,14211.3,,False,0
a6eb12,LXJ545  ,United States,1733690101.0,1733690102,-93.8459,40.5436,9448.8,False,227.67,119.81,0.0,,9570.72,7035,False,0
4952c9,TAP556  ,Portugal,1733690102.0,1733690102,-2.374,42.3224,11582.4,False,233.18,72.8,0.0,,11567.16,2201,False,0
aa56b6,UAL245  ,United States,1733690101.0,1733690101,-92.5243,43.1277,10363.2,False,218.93,299.88,0.0,,10431.78,3113,False,0
a808d8,N617B   ,United States,1733690102.0,1733690102,-104.4778,39.5119,2286.0,False,82.32,0.72,0.33,,2255.52,4077,False,0
a1fb33,MXY310  ,United States,1733690098.0,1733690098,-89.7617,29.7878,2720.34,False,140.29,286.84,-7.8,,2842.26,7401,False,0
a57b4d,UAL2481 ,United States,1733690102.0,1733690102,-104.9914,37.6409,10652.76,False,257.36,71.71,0.33,,10873.74,6717,False,0
aa56b4,UAL2381 ,United States,1733690101.0,1733690102,-114.3703,34.641,9144.0,False,219.16,236.68,0.0,,9403.08,0634,False,0
a6c8cd,VJA536  ,United States,1733690100.0,1733690101,-96.5872,43.6651,13114.02,False,189.53,288.19,-0.33,,13083.54,2720,False,0
ad3c27,DAL1195 ,United States,1733690101.0,1733690102,-86.0775,32.879,8763.0,False,278.76,78.5,-3.58,,9113.52,7033,False,0
4952c1,TAP1243 ,Portugal,1733690102.0,1733690102,-3.113,45.3185,10668.0,False,242.36,226.55,-0.33,,10530.84,0624,False,0
4952c3,TAP9HZ  ,Portugal,1733690102.0,1733690102,-7.985,40.128,9479.28,False,240.99,217.63,-7.8,,9707.88,3703,False,0
0d0c26,XBRJT   ,Mexico,1733690100.0,1733690101,-80.8957,25.983,1463.04,False,118.41,104.34,-4.55,,1562.1,7067,False,0
4952c4,TAP755  ,Portugal,1733690102.0,1733690102,-5.454,43.1844,11285.22,False,251.18,210.66,-0.65,,11300.46,0752,False,0
4952c5,TAP534  ,Portugal,1733690101.0,1733690101,8.1255,50.1941,11871.96,False,217.92,68.83,-0.33,,11750.04,1172,False,0
4952c6,TAP67U  ,Portugal,1733690081.0,1733690081,-9.1314,38.7726,,True,0.77,78.75,,,,2661,False,0
ac83aa,N905VR  ,United States,1733690101.0,1733690101,-102.6916,43.9673,14020.8,False,217.77,272.17,0.0,,13952.22,3257,False,0
4952c7,TAP74MS ,Portugal,1733690102.0,1733690102,1.278,49.0421,11574.78,False,216.85,39.13,0.0,,11422.38,1000,False,0
a0e250,AAL2470 ,United States,1733690102.0,1733690102,-110.9916,35.4697,8244.84,False,211.46,269.16,-4.55,,8580.12,,False,0
a21b4b,N235CF  ,United States,1733690100.0,1733690101,-77.6912,40.1622,1402.08,False,50.85,348.92,-0.33,,1363.98,,False,0
a042ff,N116FE  ,United States,,1733690102,,,,False,6.17,33.75,,,,,False,0
39de46,TVF82AJ ,France,1733690101.0,1733690102,10.3037,50.161,11590.02,False,232.67,267.97,-0.33,,11475.72,1000,False,0
407a05,EZY56VQ ,United Kingdom,1733690102.0,1733690102,-9.5286,39.6449,11605.26,False,216.24,17.44,0.0,,11841.48,6237,False,0
47b22a,LNKGW   ,Norway,1733690102.0,1733690102,10.6154,62.3958,7620.0,False,109.9,23.45,0.0,,7642.86,1446,False,0
440db0,EJU53ZL ,Austria,1733690098.0,1733690098,8.5632,47.4601,,True,0.0,5.62,,,,1000,False,0
a46e39,N385DS  ,United States,1733690102.0,1733690102,-82.8032,27.9173,411.48,False,64.03,344.62,0.33,,464.82,,False,0
ab63d7,DAL2756 ,United States,1733690101.0,1733690102,-82.4196,41.8145,10668.0,False,260.52,107.11,0.0,,10767.06,7770,False,0
ad694c,SWA1808 ,United States,1733690101.0,1733690102,-90.4908,38.8125,853.44,False,101.55,121.11,-4.88,,807.72,,False,0
407a06,EZY36HW ,United Kingdom,1733690101.0,1733690101,3.6357,46.7479,8046.72,False,164.45,138.93,-7.15,,7894.32,6356,False,0
a7b09b,N595GL  ,United States,1733690088.0,1733690088,-84.2842,42.5072,1424.94,False,47.43,273.73,0.33,,1272.54,,False,0
0d0c1c,VTM122  ,Mexico,1733690102.0,1733690102,-91.5084,35.5619,9448.8,False,273.09,41.1,0.65,,9700.26,4051,False,0
a46e35,DAL2404 ,United States,1733690094.0,1733690098,-73.8658,40.7736,,True,0.0,39.38,,,,,False,0
a34215,EDV5423 ,United States,1733690101.0,1733690101,-82.0574,35.6217,9151.62,False,215.37,224.23,0.0,,9380.22,4362,True,0
39de40,TVF58TN ,France,1733690102.0,1733690102,8.1813,45.6038,6400.8,False,202.43,287.15,4.55,,6271.26,1000,False,0
ac83b4,N905WA  ,United States,1733689976.0,1733689976,-80.2487,25.9983,-30.48,False,29.84,90.99,-3.58,,22.86,4647,False,0
39de41,TVF88PQ ,France,1733690101.0,1733690101,-0.2471,45.6001,11559.54,False,215.72,49.74,-0.33,,11430.0,1000,False,0
7c6b13,JST950  ,Australia,1733690102.0,1733690102,148.7407,-28.9952,10972.8,False,239.48,340.94,0.33,,11681.46,1461,False,0
a2222d,N2367X  ,United States,1733690102.0,1733690102,-70.1934,41.729,1402.08,False,42.63,289.75,0.98,,1257.3,,False,0
a5de4a,N4776E  ,United States,1733689960.0,1733689960,-82.762,27.9826,-30.48,False,31.75,153.02,-3.25,,15.24,,False,0
4b180b,SWR405  ,Switzerland,1733690101.0,1733690102,8.1469,47.4965,4023.36,False,140.14,126.49,-8.78,,3970.02,2025,False,0
39de43,TVF14QK ,France,1733690102.0,1733690102,6.2199,51.8373,11590.02,False,237.02,196.39,0.0,,11506.2,0741,False,0
c047cf,CGBFA   ,Canada,1733690102.0,1733690102,-80.0289,43.894,731.52,False,48.94,320.12,0.65,,640.08,1200,False,0
a03d03,N114W   ,United States,1733690102.0,1733690102,-86.9398,32.9413,13723.62,False,162.71,250.42,0.33,,14081.76,6026,False,0
3c6669,DLH52Y  ,Germany,1733690102.0,1733690102,11.0229,46.5742,9631.68,False,245.58,225.93,7.15,,9425.94,6673,False,0
44028c,EJU83PX ,Austria,1733690087.0,1733690096,4.7547,52.3102,,True,0.0,149.06,,,,1000,False,0
3c6666,DLH73K  ,Germany,1733690101.0,1733690102,0.1584,47.5375,10668.0,False,244.16,231.42,0.0,,10469.88,2504,False,0
acd3a4,CXK609  ,United States,1733690101.0,1733690101,-112.0831,41.1849,1615.44,False,50.2,245.8,0.0,,1638.3,,False,0
a2228b,ASA424  ,United States,1733690101.0,1733690102,-113.6846,47.6106,9448.8,False,238.33,88.02,-0.65,,9136.38,,False,0
ad5658,N959CR  ,United States,1733690102.0,1733690102,-81.5164,29.307,12496.8,False,185.64,350.59,-0.33,,13014.96,3605,False,0
4952b2,TAP074  ,Portugal,1733690102.0,1733690102,-41.1789,-20.1079,9281.16,False,223.15,29.11,1.3,,9898.38,,False,0
4acb01,NSZ278Y ,Sweden,1733690102.0,1733690102,9.3377,54.6734,11277.6,False,219.72,45.19,0.0,,11216.64,1173,False,0
aaef89,AAL3291 ,United States,1733690102.0,1733690102,-84.8553,35.1781,10363.2,False,207.13,348.83,0.0,,10683.24,2141,False,0
4acb03,NSZ7DP  ,Sweden,1733690101.0,1733690102,19.5344,61.9932,11277.6,False,219.79,18.99,0.33,,11094.72,0253,False,0
c822ec,ANZ104M ,New Zealand,1733690102.0,1733690102,175.2079,-39.5121,4777.74,False,106.75,349.45,3.58,,4876.8,,False,0
4acb04,NOZ825  ,Sweden,1733690092.0,1733690101,17.936,59.6528,,True,1.03,106.88,,,,,False,0
ad564b,N959CC  ,United States,1733690102.0,1733690102,-75.8939,40.5011,2781.3,False,155.45,65.98,-0.33,,2697.48,2641,False,0
a678a5,N516KL  ,United States,1733690102.0,1733690102,-118.5057,34.2965,723.9,False,47.95,170.74,-3.9,,731.52,,False,0
a47597,DAL2272 ,United States,1733690101.0,1733690101,-121.4162,36.1346,9006.84,False,220.64,327.57,-5.2,,9265.92,2427,False,0
e80251,LPE2381 ,Chile,1733690100.0,1733690102,-60.013,-33.5003,10363.2,False,199.98,305.37,0.0,,10713.72,0525,False,0
ab034d,AAL49   ,United States,1733689821.0,1733689822,-97.0547,32.9181,228.6,False,73.57,180.4,-3.9,,190.5,2616,False,0
4bc8c8,PGT1928 ,Turkey,1733690101.0,1733690101,32.4376,36.9124,10355.58,False,251.5,127.85,-4.55,,10561.32,2361,False,0
4bc8c9,PGT92YP ,Turkey,1733690102.0,1733690102,21.2593,42.3767,3749.04,False,177.61,349.99,-6.83,,3718.56,2375,False,0
4bc8c7,PGT1JX  ,Turkey,1733690101.0,1733690101,30.465,40.3471,7155.18,False,183.34,277.9,-7.8,,7307.58,,False,0
a7b051,N595DM  ,United States,1733690100.0,1733690100,-90.931,31.5062,13106.4,False,136.03,273.25,0.0,,13540.74,3003,False,0
4bc8c2,PGT14DJ ,Turkey,1733689979.0,1733689982,29.2771,40.8754,228.6,False,69.48,63.62,-4.55,,274.32,,False,0
ac1c67,N88KK   ,United States,1733690102.0,1733690102,-82.5422,28.3702,693.42,False,73.48,315.57,-0.65,,746.76,,False,0
a3425f,N309SP  ,United States,1733689818.0,1733689818,-89.9205,41.9837,1348.74,False,35.21,244.93,0.0,,1249.68,,False,0
acf9f6,N935TS  ,United States,1733690101.0,1733690101,-83.8868,35.0938,2377.44,False,72.11,267.14,0.0,,2430.78,,False,0
4952a4,TAP073  ,Portugal,1733690101.0,1733690101,-41.1174,-6.4287,11582.4,False,243.53,198.47,-0.33,,12268.2,6004,False,0
abb3be,DAL51   ,United States,1733690101.0,1733690102,-112.121,41.1971,4404.36,False,173.55,189.21,-5.85,,4434.84,,False,0
ab63f3,ERU833  ,United States,1733690101.0,1733690102,-81.1118,29.3064,411.48,False,51.49,158.3,0.0,,464.82,,False,0
a710fe,N55420  ,United States,1733690060.0,1733690062,-77.6472,37.9177,975.36,False,42.1,324.95,-2.6,,937.26,,False,0
a7b049,N595DD  ,United States,1733689946.0,1733689947,-111.3348,34.1365,2232.66,False,71.47,6.61,-2.6,,2286.0,,False,0
aae34c,EJA800  ,United States,1733690101.0,1733690102,-74.555,41.0269,952.5,False,139.55,87.46,-0.65,,861.06,1154,False,0
ac3679,N8860B  ,United States,1733690101.0,1733690102,-89.5926,40.8018,609.6,False,54.8,350.27,0.0,,502.92,,False,0
e0b1ce,FBZ5190 ,Argentina,1733690101.0,1733690101,-58.8165,-34.0652,7025.64,False,195.37,311.37,21.46,,7223.76,5011,False,0
a8e37c,DAL2711 ,United States,1733690101.0,1733690102,-83.9666,33.9551,2971.8,False,157.09,213.38,-0.33,,3048.0,0550,False,0
3c6672,DLH64K  ,Germany,1733690102.0,1733690102,6.0667,49.7068,9075.42,False,235.71,256.75,5.85,,8968.74,0635,False,0
a58e1e,SWA1743 ,United States,1733690102.0,1733690102,-101.8625,35.4769,10668.0,False,254.23,150.95,0.0,,10881.36,0677,False,0
ac1c60,N88KC   ,United States,1733690097.0,1733690097,-123.1881,44.1601,350.52,False,44.9,274.6,-3.9,,434.34,,False,0
a1b2ee,JBU1769 ,United States,1733689838.0,1733690042,-77.306,32.7988,9738.36,False,239.84,196.06,0.0,,10058.4,7337,False,0
ac101f,SWA1321 ,United States,1733690102.0,1733690102,-92.2562,37.8692,8945.88,False,260.28,103.49,-9.75,,9128.76,3565,False,0
aae365,N800RS  ,United States,1733690101.0,1733690101,-80.2438,31.4188,13106.4,False,178.1,200.63,0.0,,13495.02,6517,False,0
a5950a,N459RH  ,United States,1733690101.0,1733690102,-110.0914,36.4113,14325.6,False,230.8,253.42,-0.33,,14523.72,3063,False,0
a3a538,FFT2143 ,United States,1733690094.0,1733690099,-84.4421,33.6437,,True,0.0,267.19,,,,,False,0
e80270,LPE2237 ,Chile,1733690102.0,1733690102,-75.1108,-6.5531,11590.02,False,245.89,208.76,-0.33,,12374.88,,False,0
471eff,WZZ52LU ,Hungary,1733690102.0,1733690102,12.1223,52.9993,11269.98,False,216.22,94.5,0.0,,11155.68,1166,False,0
ad90a3,AAL1402 ,United States,1733690101.0,1733690101,-83.0789,27.9543,2926.08,False,152.76,63.61,-5.53,,3070.86,,False,0
471efc,WZZ8QV  ,Hungary,1733690101.0,1733690101,8.0861,44.0766,10363.2,False,229.2,44.09,-0.33,,10119.36,1000,False,0
471efd,WZZ1    ,Hungary,1733690101.0,1733690101,10.9037,63.4565,,True,8.23,196.88,,,,6025,False,0
ae6322,BLRR272 ,United States,1733690102.0,1733690102,-97.8998,27.4087,906.78,False,137.03,5.82,0.0,,929.64,,False,0
e80277,LPE2460 ,Chile,1733690101.0,1733690101,-70.4906,13.2004,11277.6,False,242.41,20.63,0.0,,11963.4,,False,0
e80276,LPE2028 ,Chile,1733690101.0,1733690101,-76.8294,-12.2566,3413.76,False,180.01,120.01,11.05,,3604.26,,False,0
40812e,EZY58CG ,United Kingdom,1733690101.0,1733690102,-9.3504,44.589,11269.98,False,188.57,348.35,0.0,,11407.14,7753,False,0
adb96b,CAP3134 ,United States,1733690102.0,1733690102,-73.1804,40.8153,472.44,False,66.26,116.76,-1.3,,396.24,4253,False,0
ac3688,SWA3141 ,United States,1733690100.0,1733690101,-99.4099,38.2501,9144.0,False,245.7,252.7,0.0,,9273.54,4174,False,0
ae13c5,PAWS11  ,United States,1733690085.0,1733690101,-96.2505,33.4969,2148.84,False,133.97,323.75,0.0,,2156.46,,False,0
801665,AIC102  ,India,1733690091.0,1733690101,-26.5095,67.2069,11277.6,False,316.5,50.54,0.0,,11117.58,,False,0
ad3006,EJA949  ,United States,1733690102.0,1733690102,-80.3576,31.7325,12192.0,False,212.0,199.27,0.33,,12595.86,0504,False,0
40812d,EZY63YX ,United Kingdom,1733690101.0,1733690102,-7.4832,40.0949,10888.98,False,222.63,45.0,2.6,,11094.72,1145,False,0
a412d7,N3613U  ,United States,1733690102.0,1733690102,-82.1596,27.8333,655.32,False,58.89,38.97,-1.3,,708.66,0116,False,0
e8026f,LPE2109 ,Chile,1733690101.0,1733690101,-76.6128,-12.4013,5212.08,False,190.68,138.83,7.48,,5524.5,,False,0
a3fee9,N357BB  ,United States,1733690100.0,1733690100,-89.974,30.0106,1219.2,False,96.87,62.48,14.96,,1295.4,,False,0
80165e,AXB1226 ,India,1733689883.0,1733689926,88.442,22.6422,,True,1.29,95.62,,,,2731,False,0
a40be1,N36VU   ,United States,1733690101.0,1733690102,-122.6324,38.2041,548.64,False,59.52,255.48,1.95,,571.5,,False,0
a34e97,DAL460  ,United States,1733690102.0,1733690102,-73.8705,40.7857,45.72,False,73.07,212.35,-3.9,,-7.62,2632,False,0
a3689e,DAL2785 ,United States,1733690102.0,1733690102,-78.1054,34.9267,6705.6,False,215.52,219.77,0.33,,6880.86,7323,False,0
7c6b3d,JST202  ,Australia,1733690101.0,1733690102,153.1693,-34.1552,10363.2,False,157.95,278.05,0.0,,10835.64,1457,False,0
7c6b3c,JST703  ,Australia,1733690101.0,1733690102,147.4215,-42.534,2819.4,False,153.6,150.95,-6.18,,2804.16,4337,False,0
a3556f,JBU1298 ,United States,1733690102.0,1733690102,-102.797,41.532,9387.84,False,261.27,71.28,4.23,,9464.04,1454,False,0
a46e6a,FFT2430 ,United States,1733690101.0,1733690101,-113.9108,36.2335,8244.84,False,237.54,81.78,8.78,,8473.44,1247,False,0
3442c2,ANE26AP ,Spain,1733690102.0,1733690102,3.9303,39.6723,3131.82,False,110.42,255.7,4.23,,3108.96,6371,False,0
abf025,SWA3034 ,United States,1733689922.0,1733689922,-117.1822,32.7307,,True,1.29,106.88,,,,,False,0
aae36f,N800SB  ,United States,1733690088.0,1733690092,-80.1338,32.6792,944.88,False,139.51,87.89,-0.33,,990.6,2717,False,0
a4c527,RPA4355 ,United States,1733690102.0,1733690102,-82.483,38.3131,10363.2,False,212.99,265.98,-0.33,,10576.56,1717,False,0
a2cbdb,N28CG   ,United States,1733690102.0,1733690102,-80.7393,40.8173,8534.4,False,206.92,245.16,0.0,,8641.08,3371,False,0
ad3012,N949RD  ,United States,1733690101.0,1733690101,-96.1674,41.4105,1310.64,False,73.22,340.29,0.0,,1188.72,6765,False,0
ac21e4,DAL470  ,United States,1733690102.0,1733690102,-93.2335,42.6183,10668.0,False,254.06,80.44,0.0,,10759.44,3575,False,0
